,은행코드,은행명,bank_code_labeled
571,034,광주은행,3
572,034,광주은행,3
573,034,광주은행,3
574,034,광주은행,3
575,034,광주은행,3
576,034,광주은행,3
577,034,광주은행,3
578,D07,머스트삼일저축은행,8
579,034,광주은행,3
580,034,광주은행,3
581,032,부산은행,4
582,007,수협은행,1
583,034,광주은행,3
584,034,광주은행,3
585,034,광주은행,3
586,032,부산은행,4
587,032,부산은행,4
588,F05,오투저축은행,32
589,007,수협은행,1
590,007,수협은행,1
591,032,부산은행,4
592,034,광주은행,3
593,034,광주은행,3
594,034,광주은행,3
595,034,광주은행,3
596,034,광주은행,3
597,034,광주은행,3
598,034,광주은행,3
599,034,광주은행,3
600,034,광주은행,3
601,034,광주은행,3
602,F05,오투저축은행,32
603,007,수협은행,1
604,034,광주은행,3
605,F05,오투저축은행,32
606,034,광주은행,3
607,007,수협은행,1
608,034,광주은행,3
609,007,수협은행,1
610,007,수협은행,1
611,007,수협은행,1
612,F05,오투저축은행,32
613,032,부산은행,4
614,034,광주은행,3
615,034,광주은행,3
616,034,광주은행,3
617,032,부산은행,4
618,032,부산은행,4
619,032,부산은행,4
620,007,수협은행,1
621,007,수협은행,1
622,007,수협은행,1
623,034,광주은행,3
624,034,광주은행,3
625,034,광주은행,3
626,034,광주은행,3
627,007,수협은행,1
628,007,수협은행,1
629,034,광주은행,3
630,034,광주은행,3
631,034,광주은행,3
632,034,광주은행,3
633,034,광주은행,3
634,034,광주은행,3
635,034,광주은행,3
636,D07,머스트삼일저축은행,8
637,D05,드림저축은행,17
638,034,광주은행,3
639,Z03,카카오뱅크,21
640,034,광주은행,3
641,034,광주은행,3
642,034,광주은행,3
643,034,광주은행,3
644,034,광주은행,3
645,034,광주은행,3
646,034,광주은행,3
647,034,광주은행,3
648,034,광주은행,3
649,034,광주은행,3
650,034,광주은행,3
651,034,광주은행,3
652,034,광주은행,3
653,034,광주은행,3
654,034,광주은행,3
655,034,광주은행,3
656,034,광주은행,3
657,034,광주은행,3
658,034,광주은행,3
659,034,광주은행,3
660,034,광주은행,3
661,034,광주은행,3
662,034,광주은행,3
663,034,광주은행,3
664,034,광주은행,3
665,D07,머스트삼일저축은행,8
666,034,광주은행,3
667,034,광주은행,3
668,034,광주은행,3
669,007,수협은행,1
670,034,광주은행,3
671,034,광주은행,3
672,039,경남은행,5
673,034,광주은행,3
674,F02,상상인플러스저축은행,33
675,032,부산은행,4
676,034,광주은행,3
677,034,광주은행,3
678,034,광주은행,3
679,034,광주은행,3
680,034,광주은행,3
681,039,경남은행,5
682,034,광주은행,3
683,034,광주은행,3
684,034,광주은행,3
685,007,수협은행,1
686,032,부산은행,4
687,034,광주은행,3
688,032,부산은행,4
689,D05,드림저축은행,17
690,081,하나은행,39
691,081,하나은행,39
692,081,하나은행,39
693,037,전북은행,27
694,081,하나은행,39
695,071,우체국,37
696,081,하나은행,39
697,081,하나은행,39
698,032,부산은행,4
699,081,하나은행,39
700,D08,엠에스저축은행,20
701,D05,드림저축은행,17
702,081,하나은행,39
703,081,하나은행,39
704,039,경남은행,5
705,007,수협은행,1
706,081,하나은행,39
707,081,하나은행,39
708,081,하나은행,39
709,081,하나은행,39
710,032,부산은행,4
711,081,하나은행,39
712,081,하나은행,39
713,081,하나은행,39
714,081,하나은행,39
715,081,하나은행,39
716,081,하나은행,39
717,A16,예가람저축은행,2
718,081,하나은행,39
719,F05,오투저축은행,32
720,081,하나은행,39
721,039,경남은행,5
722,081,하나은행,39
723,081,하나은행,39
724,081,하나은행,39
725,081,하나은행,39
726,081,하나은행,39
727,032,부산은행,4
728,081,하나은행,39
729,081,하나은행,39
730,081,하나은행,39
731,081,하나은행,39
732,081,하나은행,39
733,032,부산은행,4
734,081,하나은행,39
735,081,하나은행,39
736,011,농협은행,10
737,081,하나은행,39
738,D02,대백저축은행,18
